Total Node Running Coins: 80000000
Total Ambassador Coins: 1614168
Total Quest Coins: 1680287
Total of All Tokens: 83294455
+-------------------------------------------------------+--------------+------------+-------+---------------+--------------+------------+
| Address                                               | Node Running | Ambassador | Quest | Initial Rolls | Total Tokens | Percentage |
| AU129xxBRyy9KDD23cy4iREPrLVDNYP5HuECpKEiKuWYv85He1X6E |        22059 |          0 |     0 |     False     |        22059 |    0.0265% |
| AU1EWfizkuSpc2GmqdSKja2NQW92z4JCARz5Foy3HjunkByz6hns  |        22047 |          0 |     0 |     False     |        22047 |    0.0265% |
| AU12HwZpJJojBynNmBMogP3c2dtkTPPRNV9kg33NMP4VeCMTAfRP6 |        21828 |          0 |   200 |      True     |        22028 |    0.0264% |
| AU12kxdN59SFfiBhrBHW6Kini9abweBwb8ifgkqQM49HE8HabPBj9 |        22027 |          0 |     0 |     False     |        22027 |    0.0264% |
| AU12AxV1rzRHr8PpxbNzA16PTUPngcTctCA8GcZtP1F5munWAXCU2 |        22003 |          0 |     0 |      True     |        22003 |    0.0264% |
| AU1EPRdXEJoMRDKZzEaz6xzLEYYNwvhFTm5bWoBMBWYsXgzckULu  |        21985 |          0 |     0 |      True     |        21985 |    0.0264% |
| AU12PirxgRN5SmRbZHJVus1WhWq496Mu39381WTfL1bmgTx7WyMPK |        21858 |          0 |   114 |     False     |        21973 |    0.0264% |
| AU1YibKxMiPeCfqavCKCJoVHcmEx8t2DhKkMoWZ6C6fyHbPCvfqy  |        21965 |          0 |     0 |     False     |        21965 |    0.0264% |
| AU1DjRH7otQSYMutBqtjtbxfZEKhFqUStKsTGtk8tBRr9KCaDPod  |        21939 |          0 |     0 |      True     |        21939 |    0.0263% |
| AU12go7kmr1VGfHLm5MCXnDGKij1ebLyRWb1afnchhcWJDRnwWKyw |        21926 |          0 |     0 |      True     |        21926 |    0.0263% |
| AU16S2WfSi4UsRhA3jEYP3esSaMSaadMfxpvyywdQHxtgyV3kaNH  |        21851 |          0 |    73 |      True     |        21923 |    0.0263% |
| AU12ieSEf9JarPDnFp6UZaGCvP9akZC3mw97GFRgRjJTFd7speaXx |        21913 |          0 |     0 |     False     |        21913 |    0.0263% |
